source_domain,page_url,page_type,image_url,alt,width,height
makler-realty.com,https://makler-realty.com,page,https://makler-realty.com/wp-content/themes/Avenue/images/logo.png,logo_MS_realty,,
makler-realty.com,https://makler-realty.com,page,https://makler-realty.com/wp-content/plugins/qtranslate-x/flags/bg.png,Bulgarian (bg),,
makler-realty.com,https://makler-realty.com,page,https://makler-realty.com/wp-content/plugins/qtranslate-x/flags/gb.png,English (en),,
makler-realty.com,https://makler-realty.com,page,https://makler-realty.com/wp-content/plugins/qtranslate-x/flags/de.png,Deutsch (de),,
makler-realty.com,https://makler-realty.com,page,https://makler-realty.com/wp-content/plugins/qtranslate-x/flags/nl.png,Nederlands (nl),,
makler-realty.com,https://makler-realty.com,page,https://makler-realty.com/wp-content/plugins/qtranslate-x/flags/ru.png,Russian (ru),,
makler-realty.com,https://makler-realty.com,page,https://makler-realty.com/wp-content/uploads/wv.png,WhatsApp / Viber,,30
makler-realty.com,https://makler-realty.com,page,https://makler-realty.com/wp-content/themes/Avenue/images/success.png,,45,
makler-realty.com,https://makler-realty.com,page,https://makler-realty.com/wp-content/themes/Avenue/images/success.png,,45,
makler-realty.com,https://makler-realty.com,page,https://makler-realty.com/wp-content/themes/Avenue/timthumb.php?src=https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg&h=45&w=45&zc=1,,45,45
makler-realty.com,https://makler-realty.com,page,https://makler-realty.com/wp-content/themes/Avenue/timthumb.php?src=https://makler-realty.com/wp-content/uploads/2026/02/ChatGPT-Image-20.05.2026-г.-09_39_24-680x383.png&h=382&w=848&zc=1,,,
makler-realty.com,https://makler-realty.com,page,https://makler-realty.com/wp-content/themes/Avenue/timthumb.php?src=https://makler-realty.com/wp-content/uploads/2025/09/911-2-680x514.jpg&h=382&w=848&zc=1,,,
makler-realty.com,https://makler-realty.com,page,https://makler-realty.com/wp-content/themes/Avenue/timthumb.php?src=https://makler-realty.com/wp-content/uploads/2023/11/873-10-680x510.jpeg&h=382&w=848&zc=1,,,
