old_url,url_type,post_date,post_modified,word_count,title_ru,topic,recommendation,suggested_new_path,confidence,reason,red_flags
https://makler-realty.com/вопрос-ответ-недвижимость-болгария/,page,2013-10-19 17:49:43,2014-12-03 09:58:39,2789,Вопрос-ответ,faq,migrate_guide,/ru/guides/faq-nedvizhimost-bolgariya,high,"Полный русский FAQ по покупке недвижимости в Болгарии (15 вопросов, 2568 слов) — ядро будущего раздела guides и цель слияния для всех 16 дочерних FAQ-страниц (16 .ru + сам .com-хаб).",юр. факты устарели: запрет на землю для иностранных физлиц не действует для граждан ЕС/ЕЭЗ; правила ВНЖ/ПМЖ/гражданства изменились (инвестиционное гражданство отменено в 2022); суммы и процедуры требуют проверки перед публикацией
https://makler-realty.ru,page,2013-07-05 16:40:12,2016-07-10 12:50:17,976,Главная,listing_like,410,,high,"Корневой URL старого сайта, тело страницы собрано конструктором и пустое — это не гайд.",решение о редиректе главной принимается вне этого триажа (AGENTS: не выдумывать предположения о редиректах главной и поиска); meta рекламирует Солнечный берег и Поморие
https://makler-realty.ru/,page,2013-07-05 16:40:12,2016-07-10 12:50:17,976,Главная,listing_like,410,,high,"Тот же корневой URL со слешем, дубль корневого URL https://makler-realty.ru.",дубль https://makler-realty.ru; решение о редиректе главной вне этого триажа; meta рекламирует морские курорты
https://makler-realty.ru/аптеки-в-г-сандански/,post,2013-11-28 20:34:24,2013-11-28 20:40:51,967,Аптеки в г.Сандански,sandanski_pirin,410,,medium,"Справочник аптек и оптик Сандански 2013 года — телефоны и часы работы за 12 лет устарели, справочник не является гайдом.","данные 2013 г. (адреса, телефоны, режим работы) не верифицированы"
https://makler-realty.ru/болгария-глазами-переселенцев/,post,2013-08-27 10:59:52,2014-11-04 15:53:08,3801,Болгария глазами переселенцев,sandanski_pirin,migrate_guide,/ru/guides/bolgariya-glazami-pereselentsev,medium,"Очерк переселенца о жизни в Пиринской Македонии (3474 слова) — самый объёмный небанальный текст о регионе, точное попадание в тему Пирин.",автор текста не указан — проверить права перед публикацией; бытовые детали и цены 2011-2013 гг.
https://makler-realty.ru/болгария-глазами-переселенцев1/,post,2013-08-26 16:11:09,2014-11-04 15:53:40,1980,Болгария глазами переселенцев-продолжение1,sandanski_pirin,merge_into_existing_guide,/ru/guides/bolgariya-glazami-pereselentsev,medium,"Вторая часть того же очерка (1630 слов) — самостоятельной ценности как отдельная страница не имеет, склеивается в один длинный гайд.",цель создаётся из https://makler-realty.ru/болгария-глазами-переселенцев/ — 301 включать после публикации; цены в левах 2012-2013 гг.; авторство не указано
https://makler-realty.ru/болгарская-кухня/,post,2013-08-25 06:27:40,2014-11-04 15:52:10,2750,Болгария глазами переселенцев-болгарская кухня,sandanski_pirin,merge_into_existing_guide,/ru/guides/bolgariya-glazami-pereselentsev,medium,"Третья часть очерка (болгарская кухня, 2458 слов) — тот же автор и та же серия, место в сводном гайде, а не отдельной страницей.",цель создаётся из https://makler-realty.ru/болгария-глазами-переселенцев/; тема кухни — периферия для раздела о недвижимости; авторство не указано
https://makler-realty.ru/ванга-тайна-дара-болгарской-ясновиде/,post,2011-10-04 10:57:02,2014-03-16 11:38:38,30931,Ванга.Тайна дара болгарской ясновидещей.,sandanski_pirin,410,,high,"Полный текст книги Надежды Димовой о Ванге (30 878 слов) — чужое произведение, опубликованное целиком.",нарушение авторских прав: книга третьего лица размещена полностью; публиковать и редиректить нельзя
https://makler-realty.ru/ввоз-валюты-в-болгарию/,post,2014-12-03 10:05:54,2018-03-25 16:46:43,438,Ввоз валюты в Болгарию,legal_tax,merge_into_existing_guide,/ru/guides/faq-nedvizhimost-bolgariya,high,81 слово о ввозе наличных — дословный пункт 15 сводного FAQ (совпадение 100%).,дубль блока в /ru/guides/faq-nedvizhimost-bolgariya; лимит 10 000 € проверить после перехода Болгарии на евро
https://makler-realty.ru/внимание-черные-риэлторы-в-сандански/,post,2012-04-27 09:24:24,2014-05-13 18:45:37,979,Внимание! Черные риэлторы в Сандански,buying_process,migrate_guide,/ru/guides/chernye-rieltory-sandanski,medium,"Разбор мошеннических схем при покупке недвижимости в Сандански — уникальный, точно в теме проверки сделки и защиты покупателя.",текст 2012-2013 гг.; резкие обвинения в адрес неназванных лиц требуют юридической вычитки перед публикацией
https://makler-realty.ru/вопрос-ответ-недвижимость-болгария/,page,2013-10-19 17:49:43,2016-06-16 08:09:36,566,Вопрос-ответ,faq,merge_into_existing_guide,/ru/guides/faq-nedvizhimost-bolgariya,high,Русское оглавление FAQ (221 слово) — содержательно вложено в сводный FAQ на .com.,оглавление без собственного контента
https://makler-realty.ru/вопрос-ответ-недвижимость-болгария/как-выбрать-агентство-недвижимости/,page,2016-06-15 17:47:33,2016-06-16 07:50:20,463,Как выбрать агентство недвижимости,buying_process,merge_into_existing_guide,/ru/guides/faq-nedvizhimost-bolgariya,high,Ответ о крупных и мелких агентствах (109 слов) — дословный фрагмент сводного FAQ.,совпадение с /ru/guides/faq-nedvizhimost-bolgariya 100%
https://makler-realty.ru/вопрос-ответ-недвижимость-болгария/chto-takoe-bulstat/,page,2016-06-15 17:37:44,2016-06-29 10:25:11,495,Что такое булстат?,legal_tax,merge_into_existing_guide,/ru/guides/faq-nedvizhimost-bolgariya,high,Ответ о регистрации БУЛСТАТ (141 слово) — дословный фрагмент сводного FAQ.,совпадение 100%; 7-дневный срок регистрации и состав услуги требуют проверки
https://makler-realty.ru/вопрос-ответ-недвижимость-болгария/kak-dolgo-oformlqetsq-nedwizhimost-v-sobstvenost/,page,2016-06-15 16:54:51,2016-06-16 07:16:29,485,Как долго оформляется в собственность выбранная нами недвижимость в Болгарии?,buying_process,merge_into_existing_guide,/ru/guides/faq-nedvizhimost-bolgariya,high,Ответ о сроках оформления собственности (140 слов) — дословный фрагмент сводного FAQ.,совпадение 100%
https://makler-realty.ru/вопрос-ответ-недвижимость-болгария/kak-dolgo-oformlqetsq-notarialnij-akt/,page,2016-06-15 16:57:13,2016-06-16 07:20:15,470,Как долго оформляется Нотариальный акт?,buying_process,merge_into_existing_guide,/ru/guides/faq-nedvizhimost-bolgariya,high,Ответ о сроках оформления нотариального акта (121 слово) — дословный фрагмент сводного FAQ.,"совпадение 100%; обещание «гарантируем чистоту сделки» — маркетинговое утверждение, требует правки"
https://makler-realty.ru/вопрос-ответ-недвижимость-болгария/kak-kupit-i-zaregistrirovat-avto-v-bolgarii/,page,2016-06-15 17:13:54,2016-06-16 07:22:18,528,Как купить и зарегистрировать автомобиль в Болгарии,legal_tax,merge_into_existing_guide,/ru/guides/faq-nedvizhimost-bolgariya,high,Ответ о покупке и регистрации автомобиля (181 слово) — дословный фрагмент сводного FAQ.,совпадение 100%; утверждение о невозможности регистрации авто на физлицо-иностранца устарело и требует юридической проверки
https://makler-realty.ru/вопрос-ответ-недвижимость-болгария/kak-otnosqtsq-bolgari-k-inostrantsam/,page,2016-06-15 17:35:50,2016-06-16 07:29:17,491,Как болгары относятся к иностранцам?,faq,merge_into_existing_guide,/ru/guides/faq-nedvizhimost-bolgariya,high,Ответ об отношении болгар к иностранцам (140 слов) — дословный фрагмент сводного FAQ.,совпадение 100%; оценочные обобщения о нации стоит смягчить
https://makler-realty.ru/вопрос-ответ-недвижимость-болгария/kak-polichit-vnzh-v-bolgarii/,page,2016-06-15 17:26:02,2016-06-29 10:28:25,630,Как получить ВНЖ в Болгарии,residence_visa,merge_into_existing_guide,/ru/guides/faq-nedvizhimost-bolgariya,high,Основания для ВНЖ (281 слово) — дословный фрагмент сводного FAQ.,совпадение 100%; перечень оснований по ЗЧРБ редакции ~2016 г. — не публиковать без сверки с действующим законом
https://makler-realty.ru/вопрос-ответ-недвижимость-болгария/kak-poluchit-grazhdanstvo-bolgarii/,page,2016-06-15 17:34:15,2016-06-16 07:28:48,994,Как получить гражданство Болгарии,residence_visa,merge_into_existing_guide,/ru/guides/faq-nedvizhimost-bolgariya,medium,"Самый объёмный ответ FAQ о гражданстве (645 слов) — дословный фрагмент сводного FAQ, отдельной страницей не нужен.","совпадение 100%; инвестиционное гражданство отменено в 2022 г., сроки и этапы устарели — возможно, блок придётся удалить, а не переносить"
https://makler-realty.ru/вопрос-ответ-недвижимость-болгария/kak-poluchit-pmzh-v-bolgarii/,page,2016-06-15 17:28:04,2016-06-16 07:27:00,508,Как получить ПМЖ в Болгарии,residence_visa,merge_into_existing_guide,/ru/guides/faq-nedvizhimost-bolgariya,high,Основания для ПМЖ (158 слов) — дословный фрагмент сводного FAQ.,совпадение 100%; перечень оснований требует сверки с действующей редакцией закона
https://makler-realty.ru/вопрос-ответ-недвижимость-болгария/kak-proverit-agentstvo-nedvizhimosti/,page,2016-06-15 17:43:36,2016-06-16 07:35:37,524,Как проверить агентство недвижимости,buying_process,merge_into_existing_guide,/ru/guides/faq-nedvizhimost-bolgariya,high,"Как проверить агентство в Търговски регистър (159 слов) — дословный фрагмент сводного FAQ, полезная процедурная мелочь.",совпадение 100%; ссылку на public.brra.bg проверить на живучесть
https://makler-realty.ru/вопрос-ответ-недвижимость-болгария/kakie-v-bolgarii-kommunalnie-platezhi/,page,2016-06-15 17:07:51,2016-06-29 10:26:24,462,Какие е Болгарии коммунальные платежи,legal_tax,merge_into_existing_guide,/ru/guides/faq-nedvizhimost-bolgariya,high,Ежегодные расходы на квартиру (109 слов) — дословный фрагмент сводного FAQ.,совпадение 100%; такса поддержки 5-10 €/м²/год — цифры 2016 г.
https://makler-realty.ru/вопрос-ответ-недвижимость-болгария/kupit-nedvizhimost-u-zastroishika-ili-charez-agentstvo-nedvizhimosti/,page,2016-06-15 17:40:41,2016-06-16 07:32:00,640,Купить недвижимость у застройщика или через агентство недвижимости,buying_process,merge_into_existing_guide,/ru/guides/faq-nedvizhimost-bolgariya,high,Застройщик против агентства (294 слова) — дословный фрагмент сводного FAQ.,совпадение 100%; текст откровенно рекламирует услуги агентства
https://makler-realty.ru/вопрос-ответ-недвижимость-болгария/neobhodimie-dokumenti-dlq-pokupki-kvartiri-v-bolgarii/,page,2016-06-15 17:21:56,2016-06-16 07:25:15,468,Необходимые документы для покупки квартиры или дома в Болгарии,buying_process,merge_into_existing_guide,/ru/guides/faq-nedvizhimost-bolgariya,high,Документы для покупки квартиры или дома (120 слов) — дословный фрагмент сводного FAQ.,совпадение 100%; требование фирмы для покупки дома с землёй неверно для граждан ЕС/ЕЭЗ
https://makler-realty.ru/вопрос-ответ-недвижимость-болгария/pochemu-nuzhna-firma-dlq-pokupki-doma-v-bolgarii/,page,2016-06-15 17:17:22,2016-06-16 07:23:37,556,"Почему я должен регистрировать компанию, что бы купить дом в Болгарии?",legal_tax,merge_into_existing_guide,/ru/guides/faq-nedvizhimost-bolgariya,high,Зачем регистрировать фирму для покупки дома (208 слов) — дословный фрагмент сводного FAQ.,"совпадение 100%; «иностранное физическое лицо не может быть собственником земли» — устаревшая формулировка, для граждан ЕС/ЕЭЗ ограничение снято"
https://makler-realty.ru/вопрос-ответ-недвижимость-болгария/skolko-vremeni-neobhodimo-dlq-vibora-nedvizhimosti-ipredvaritelnogo-dogovora/,page,2016-06-15 16:50:57,2016-06-16 07:15:44,488,Сколько времени необходимо для выбора недвижимости и оформления предварительного договора,buying_process,merge_into_existing_guide,/ru/guides/faq-nedvizhimost-bolgariya,high,Сколько времени занимает выбор объекта и предварительный договор (138 слов) — дословный фрагмент сводного FAQ.,совпадение 100%
https://makler-realty.ru/главная/,page,2013-07-05 16:40:12,2016-07-10 12:50:17,976,Главная,listing_like,410,,high,"Каноническая главная старого сайта, тело пустое (конструктор) — не гайд.",решение о редиректе главной вне этого триажа (AGENTS); meta позиционирует агентство через морские курорты Солнечный берег и Поморие
https://makler-realty.ru/достопримечателности/,page,2014-05-23 21:15:26,2016-07-14 13:51:00,1559,Достопримечательности,sandanski_pirin,migrate_guide,/ru/guides/dostoprimechatelnosti-sandanski-melnik,high,"Достопримечательности региона: Мелник, Роженский монастырь, Рильский монастырь (1206 слов) — прямое попадание в тему Сандански/Мелник/Пирин.",исторические факты стоит перепроверить; сводится с расписанием и прайсом экскурсий (/экскурсии-в-городе-сандански/ и /экскурсии-в-сандански/)
https://makler-realty.ru/как-доехать-из-софии-до-сандански/,post,2012-11-14 15:17:55,2016-06-26 10:32:36,551,Как доехать из Софии до Сандански?!,sandanski_pirin,migrate_guide,/ru/guides/kak-dobratsya-do-sandanski,medium,"Практический маршрут София — Сандански (автобус, такси) — полезный сервисный гайд и якорь для слияния двух трансферных страниц.",цены такси 70-130 € и номера софийских автобусов 2012 г.; расписание «последний автобус в 18:00» требует проверки
https://makler-realty.ru/кинезитерапия-мануальная-терапия/,post,2013-11-29 10:59:59,2014-11-04 16:01:44,378,Кинезитерапия / Мануальная терапия в городе Сандански,sandanski_pirin,410,,high,"20 слов: имя, адрес и телефон одного массажиста — контентной ценности нет.",тонкая страница; персональные контакты третьего лица 2013 г.
https://makler-realty.ru/контакти/,page,2013-08-26 18:45:41,2018-07-26 06:32:20,384,Контакты,promo_thin,merge_into_existing_guide,/ru/contact,high,"Контактная страница — не гайд, но у неё есть точный эквивалент на новом сайте.","301 на не-гайд (существующая страница контактов); meta рекламирует Солнечный берег, Святой Влас, Поморие, Созополь"
https://makler-realty.ru/купить-дом-в-сандански/,post,2013-11-12 10:08:15,2025-10-08 06:40:48,650,Купить дом в Сандански,sandanski_pirin,merge_into_existing_guide,/ru/locations/sandanski,medium,"Разбор ценовых сегментов домов в Сандански — полезная рамка, но цены и подборка объектов принадлежат странице локации, а не отдельному гайду.",цены 30 000 / 40 000 / 100 000 € — 2013 г.; утверждение о сносе и застройке без разрешений требует юридической проверки
https://makler-realty.ru/купить-квартиру-в-сандански/,post,2012-06-12 10:03:07,2014-11-03 20:45:11,771,Купить квартиру в Сандански,sandanski_pirin,merge_into_existing_guide,/ru/locations/sandanski,medium,"Разбор ценовых сегментов квартир в Сандански — та же логика, содержимое просится в страницу локации.",цены 380-500 €/м² — 2012 г.; текст позиционирует Сандански через «120 км от Средиземного моря» — противоречит правилу не подавать Сандански как морское направление
