rank,id,source_url,manual_review_status,issues,required_action,broker_confirm,availability_confirmation,facts_reviewer,media_reviewer,approved_at
1,MS-CRAWL-0004,https://makler-realty.com/listing/%d0%b0%d0%bf%d0%b0%d1%80%d1%82%d0%b0%d0%bc%d0%b5%d0%bd%d1%82-%d0%bf%d0%be%d0%b4-%d0%bd%d0%b0%d0%b5%d0%bc-%d0%b1%d0%b0%d0%bd%d1%81%d0%ba%d0%b0-2-%d1%81%d0%b0%d0%bd%d0%b4%d0%b0%d0%bd%d1%81%d0%ba%d0%b8/,pass,canonical primary area is missing,Populate 99 sqm with an explicit includes-terrace qualifier; obtain ordinary broker availability approval before publication.,broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current_availability|media_rights_and_currentness|area_definition_including_terrace|long_term_rent_only,,,,
2,MS-CRAWL-0009,https://makler-realty.com/listing/%d0%b4%d0%b2%d1%83%d1%81%d1%82%d0%b0%d0%b5%d0%bd-%d0%b0%d0%bf%d0%b0%d1%80%d1%82%d0%b0%d0%bc%d0%b5%d0%bd%d1%82-%d0%bf%d0%be%d0%b4-%d0%bd%d0%b0%d0%b5%d0%bc-%d0%b2-%d0%bf%d0%b0%d1%80%d0%ba%d0%b0-%d0%bd/,pass,canonical primary area is missing,Populate 65 sqm and retain the one-bedroom classification; obtain broker availability approval before publication.,broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current_availability|media_rights_and_currentness|current_rent,,,,
3,MS-CRAWL-0010,https://makler-realty.com/listing/%d0%b4%d0%b2%d1%83%d1%81%d1%82%d0%b0%d0%b5%d0%bd-%d0%b0%d0%bf%d0%b0%d1%80%d1%82%d0%b0%d0%bc%d0%b5%d0%bd%d1%82-%d1%86%d0%b5%d0%bd%d1%82%d1%8a%d1%80-%d1%81%d0%b0%d0%bd%d0%b4%d0%b0%d0%bd%d1%81%d0%ba/,pass,canonical primary area is missing,Populate 55 sqm and publish only after the standard broker availability and media approval.,broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current_availability|media_rights_and_currentness|current_price,,,,
4,MS-CRAWL-0014,https://makler-realty.com/listing/%d0%bd%d0%b0%d0%b5%d0%bc-%d0%b4%d0%b2%d1%83%d1%81%d1%82%d0%b0%d0%b5%d0%bd-%d0%b0%d0%bf%d0%b0%d1%80%d1%82%d0%b0%d0%bc%d0%b5%d0%bd%d1%82-%d0%b2-%d1%81%d0%b0%d0%bd%d0%b4%d0%b0%d0%bd%d1%81%d0%ba%d0%b8/,pass,canonical primary area is missing,Store built and total areas separately and obtain broker availability approval before publication.,broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current_availability|media_rights_and_currentness|current_rent|40_built_vs_45_total_area,,,,
5,MS-CRAWL-0018,https://makler-realty.com/listing/%d0%be%d0%b1%d0%be%d1%80%d1%83%d0%b4%d0%b2%d0%b0%d0%bd%d0%b0-%d0%be%d1%80%d0%b0%d0%bd%d0%b6%d0%b5%d1%80%d0%b8%d1%8f-%d0%b2-%d0%b3%d1%80-%d1%81%d0%b0%d0%bd%d0%b4%d0%b0%d0%bd%d1%81%d0%ba%d0%b8/,pass,canonical primary area is missing,Populate greenhouse and parcel areas separately and obtain broker availability approval before publication.,broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current_availability|media_rights_and_currentness|equipment_included|2800_greenhouse_vs_6000_parcel|current_price,,,,
6,MS-CRAWL-0020,https://makler-realty.com/listing/%d0%be%d1%84%d0%b8%d1%81-%d0%bf%d0%be%d0%b4-%d0%bd%d0%b0%d0%b5%d0%bc-%d0%b2-%d1%86%d0%b5%d0%bd%d1%82%d1%8a%d1%80%d0%b0-%d0%bd%d0%b0-%d0%b3%d1%80-%d1%81%d0%b0%d0%bd%d0%b4%d0%b0%d0%bd%d1%81%d0%ba%d0%b8/,pass,canonical primary area is missing,Populate 18 sqm and clearly disclose the shared sanitary facility; obtain broker availability approval.,broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current_availability|media_rights_and_currentness|current_rent|shared_facilities,,,,
7,MS-CRAWL-0029,https://makler-realty.com/listing/%d0%bf%d1%80%d0%be%d0%b4%d0%b0%d0%b2%d0%b0-%d0%b5%d0%b4%d0%bd%d0%be%d1%81%d1%82%d0%b0%d0%b5%d0%bd-%d0%b0%d0%bf%d0%b0%d1%80%d1%82%d0%b0%d0%bc%d0%b5%d0%bd%d1%82%d1%81%d1%82%d1%83%d0%b4%d0%b8%d0%be/,pass,canonical primary area is missing,Store built and total areas separately and obtain broker availability approval.,broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current_availability|media_rights_and_currentness|25_88_built_vs_29_total|current_price,,,,
8,MS-CRAWL-0031,https://makler-realty.com/listing/%d0%bf%d1%80%d0%be%d0%b4%d0%b0%d0%b2%d0%b0-%d0%b5%d1%82%d0%b0%d0%b6-%d0%be%d1%82-%d0%ba%d1%8a%d1%89%d0%b0-%d0%b2-%d0%b3%d1%80-%d1%81%d0%b0%d0%bd%d0%b4%d0%b0%d0%bd%d1%81%d0%ba%d0%b8/,pass,canonical primary area is missing,Populate 112 sqm; keep two bedrooms unless the flexible room is formally marketed as a bedroom.,broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current_availability|media_rights_and_currentness|bedrooms_count|legal_object_as_entire_floor|current_price,,,,
9,MS-CRAWL-0034,https://makler-realty.com/listing/%d0%bf%d1%80%d0%be%d0%b4%d0%b0%d0%b2%d0%b0-%d0%b5%d1%82%d0%b0%d0%b6-%d0%be%d1%82-%d0%ba%d1%8a%d1%89%d0%b0-%d0%b2-%d1%88%d0%b8%d1%80%d0%be%d0%ba%d0%b8%d1%8f-%d1%86%d0%b5%d0%bd%d1%82%d1%8a%d1%80-%d0%bd/,pass,bedroom count is not explicitly stated|canonical primary area is missing,Populate 90 sqm but keep bedrooms unknown until the broker classifies the three rooms.,broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current_availability|media_rights_and_currentness|bedrooms_count|legal_object_as_floor|current_price,,,,
10,MS-CRAWL-0036,https://makler-realty.com/listing/%d0%bf%d1%80%d0%be%d0%b4%d0%b0%d0%b2%d0%b0-%d0%b7%d0%b5%d0%bc%d0%b5%d0%b4%d0%b5%d0%bb%d1%81%d0%ba%d0%b0-%d0%b7%d0%b5%d0%bc%d1%8f-%d1%81-%d0%b4%d0%b6%d0%b8%d0%b3%d1%83%d1%80%d0%be%d0%b2%d0%be/,pass,canonical primary area is missing,Populate 4047 sqm as land area and verify land category and any conversion claim before publication.,broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current_availability|media_rights_and_currentness|land_category|rezoning_feasibility_claim|current_price,,,,
11,MS-CRAWL-0040,https://makler-realty.com/listing/%d0%bf%d1%80%d0%be%d0%b4%d0%b0%d0%b2%d0%b0-%d0%b8%d0%bc%d0%be%d1%82-%d0%b2-%d1%81-%d0%bb%d0%b0%d1%81%d0%ba%d0%b0%d1%80%d0%b5%d0%b2%d0%be/,pass,canonical primary area is missing,Populate land area and keep current status agricultural; verify any development potential separately.,broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current_availability|media_rights_and_currentness|cadastral_area|current_land_status|development_potential_claim|current_price,,,,
12,MS-CRAWL-0042,https://makler-realty.com/listing/%d0%bf%d1%80%d0%be%d0%b4%d0%b0%d0%b2%d0%b0-%d0%b8%d0%bc%d0%be%d1%82-%d0%bd%d0%b0-%d0%b3%d0%bb-%d0%bf%d1%8a%d1%82-%d0%b579-%d0%b2-%d0%b3%d1%80-%d1%81%d0%b0%d0%bd%d0%b4%d0%b0%d0%bd%d1%81%d0%ba%d0%b8/,pass,canonical primary area is missing,Populate 2138 sqm as land area and verify category/frontage before publication.,broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current_availability|media_rights_and_currentness|cadastral_area|land_category|road_frontage_110m|exchange_option,,,,
13,MS-CRAWL-0043,https://makler-realty.com/listing/%d0%bf%d1%80%d0%be%d0%b4%d0%b0%d0%b2%d0%b0-%d0%ba%d1%8a%d1%89%d0%b0-%d0%b2-%d0%b3%d1%8a%d1%80%d1%86%d0%b8%d1%8f-%d0%b5%d1%80%d0%b5%d1%82%d1%80%d0%b8%d1%8f-%d0%ba%d0%be%d1%82%d1%80%d0%be%d0%bd%d0%b8/,pass,canonical primary area is missing,Populate villa and parcel areas separately and obtain foreign-listing authority plus broker availability approval.,broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current_availability|media_rights_and_currentness|foreign_listing_authority|300_house_vs_5000_parcel|current_price,,,,
14,MS-CRAWL-0044,https://makler-realty.com/listing/%d0%bf%d1%80%d0%be%d0%b4%d0%b0%d0%b2%d0%b0-%d0%ba%d1%8a%d1%89%d0%b0-%d0%b2-%d1%81-%d0%ba%d1%83%d0%bb%d0%b0%d1%82%d0%b0/,pass,bedroom count is not stated|canonical primary area is missing,"Store 50 sqm footprint, approximately 100 sqm total and 980 sqm parcel separately; keep bedrooms unknown.",broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current_availability|media_rights_and_currentness|50_footprint_vs_100_total_area|structural_and_legal_state|current_price,,,,
15,MS-CRAWL-0046,https://makler-realty.com/listing/%d0%bf%d1%80%d0%be%d0%b4%d0%b0%d0%b2%d0%b0-%d0%ba%d1%8a%d1%89%d0%b0-%d0%b2-%d1%81-%d0%bf%d0%be%d0%bb%d0%b5%d0%bd%d0%b8%d1%86%d0%b0/,pass,canonical primary area is missing|construction state differs materially by floor,Populate exact floor areas and per-floor completion states; publish only with the unfinished portions clearly disclosed.,broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current_availability|media_rights_and_currentness|473_67_total_area|seven_bedrooms_count|completion_and_permit_status_per_floor|current_price,,,,
16,MS-CRAWL-0047,https://makler-realty.com/listing/%d0%bf%d1%80%d0%be%d0%b4%d0%b0%d0%b2%d0%b0-%d0%ba%d1%8a%d1%89%d0%b0-%d0%b2-%d1%81-%d1%81%d0%bf%d0%b0%d1%82%d0%be%d0%b2%d0%be-%d0%be%d0%b1%d1%89%d0%b8%d0%bd%d0%b0-%d1%81%d0%b0%d0%bd%d0%b4%d0%b0%d0%bd/,pass,canonical primary area is missing,Populate gross and parcel areas; retain one bedroom and describe the attic as flexible space.,broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current_availability|media_rights_and_currentness|56_gross_vs_475_parcel|attic_legal_use|current_price,,,,
17,MS-CRAWL-0050,https://makler-realty.com/listing/%d0%bf%d1%80%d0%be%d0%b4%d0%b0%d0%b2%d0%b0-%d0%bc%d0%b5%d0%b7%d0%be%d0%bd%d0%b5%d1%82-%d0%b2-%d1%85%d0%b0%d0%bb%d0%ba%d0%b8%d0%b4%d0%b8%d0%ba%d0%b8-%d1%80-%d0%bd-%d0%b5%d0%bb%d0%b0%d0%bd%d0%b8-%d1%81/,pass,canonical primary area is missing,Populate maisonette and garden areas separately and obtain foreign-listing authority plus availability approval.,broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current_availability|media_rights_and_currentness|foreign_listing_authority|garden_title_or_use_right|current_price,,,,
18,MS-CRAWL-0052,https://makler-realty.com/listing/%d0%bf%d1%80%d0%be%d0%b4%d0%b0%d0%b2%d0%b0-%d0%be%d1%80%d0%b0%d0%bd%d0%b6%d0%b5%d1%80%d0%b8%d1%8f-%d0%b2-%d1%81%d0%b0%d0%bd%d0%b4%d0%b0%d0%bd%d1%81%d0%ba%d0%b8/,pass,price is on request|canonical primary area is missing,Populate greenhouse and land areas separately and obtain broker availability/equipment confirmation.,broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current_availability|media_rights_and_currentness|price_on_request|1100_greenhouse_vs_25000_land|irrigation_and_utility_equipment|land_category,,,,
19,MS-CRAWL-0054,https://makler-realty.com/listing/%d0%bf%d1%80%d0%be%d0%b4%d0%b0%d0%b2%d0%b0-%d0%bf%d0%b0%d0%bd%d0%be%d1%80%d0%b0%d0%bc%d0%b5%d0%bd-%d0%b4%d0%b2%d1%83%d1%81%d1%82%d0%b0%d0%b5%d0%bd-%d0%b0%d0%bf%d0%b0%d1%80%d1%82%d0%b0%d0%bc%d0%b5/,pass,canonical primary area is missing,Populate 70 sqm and obtain standard broker availability/media approval before publication.,broker_confirm_current_availability|broker_confirm_price_or_price_on_request|broker_confirm_property_scope_and_type|broker_confirm_location_and_public_precision|broker_confirm_area_semantics_or_explicit_unknown|broker_confirm_media_selection|assign_verified_public_contact|human_approve_seo|current_availability|media_rights_and_currentness|current_price|area_including_terraces,,,,
